#      R          P(R)      ERROR
  0.0000E+00  0.0000E+00  0.0000E+00
  0.1873E+00  0.3126E-04  0.3123E-05
  0.3745E+00  0.6255E-04  0.5791E-05
  0.5618E+00  0.9389E-04  0.8016E-05
  0.7490E+00  0.1253E-03  0.9817E-05
  0.9363E+00  0.1567E-03  0.1122E-04
  0.1124E+01  0.1883E-03  0.1225E-04
  0.1311E+01  0.2200E-03  0.1295E-04
  0.1498E+01  0.2519E-03  0.1336E-04
  0.1685E+01  0.2840E-03  0.1352E-04
  0.1873E+01  0.3164E-03  0.1349E-04
  0.2060E+01  0.3491E-03  0.1331E-04
  0.2247E+01  0.3822E-03  0.1305E-04
  0.2434E+01  0.4156E-03  0.1276E-04
  0.2622E+01  0.4496E-03  0.1249E-04
  0.2809E+01  0.4840E-03  0.1230E-04
  0.2996E+01  0.5190E-03  0.1222E-04
  0.3183E+01  0.5546E-03  0.1226E-04
  0.3371E+01  0.5909E-03  0.1242E-04
  0.3558E+01  0.6279E-03  0.1270E-04
  0.3745E+01  0.6655E-03  0.1307E-04
  0.3932E+01  0.7040E-03  0.1349E-04
  0.4120E+01  0.7432E-03  0.1394E-04
  0.4307E+01  0.7832E-03  0.1438E-04
  0.4494E+01  0.8240E-03  0.1480E-04
  0.4681E+01  0.8656E-03  0.1519E-04
  0.4869E+01  0.9080E-03  0.1552E-04
  0.5056E+01  0.9512E-03  0.1579E-04
  0.5243E+01  0.9953E-03  0.1602E-04
  0.5430E+01  0.1040E-02  0.1619E-04
  0.5618E+01  0.1086E-02  0.1633E-04
  0.5805E+01  0.1132E-02  0.1643E-04
  0.5992E+01  0.1179E-02  0.1650E-04
  0.6179E+01  0.1227E-02  0.1656E-04
  0.6367E+01  0.1276E-02  0.1661E-04
  0.6554E+01  0.1325E-02  0.1665E-04
  0.6741E+01  0.1374E-02  0.1670E-04
  0.6928E+01  0.1425E-02  0.1675E-04
  0.7116E+01  0.1475E-02  0.1681E-04
  0.7303E+01  0.1527E-02  0.1686E-04
  0.7490E+01  0.1578E-02  0.1692E-04
  0.7677E+01  0.1631E-02  0.1698E-04
  0.7865E+01  0.1683E-02  0.1703E-04
  0.8052E+01  0.1736E-02  0.1708E-04
  0.8239E+01  0.1789E-02  0.1712E-04
  0.8426E+01  0.1842E-02  0.1716E-04
  0.8614E+01  0.1896E-02  0.1720E-04
  0.8801E+01  0.1949E-02  0.1724E-04
  0.8988E+01  0.2003E-02  0.1729E-04
  0.9175E+01  0.2056E-02  0.1734E-04
  0.9363E+01  0.2110E-02  0.1741E-04
  0.9550E+01  0.2164E-02  0.1750E-04
  0.9737E+01  0.2217E-02  0.1761E-04
  0.9924E+01  0.2271E-02  0.1774E-04
  0.1011E+02  0.2324E-02  0.1789E-04
  0.1030E+02  0.2377E-02  0.1807E-04
  0.1049E+02  0.2429E-02  0.1827E-04
  0.1067E+02  0.2482E-02  0.1848E-04
  0.1086E+02  0.2534E-02  0.1871E-04
  0.1105E+02  0.2585E-02  0.1895E-04
  0.1124E+02  0.2636E-02  0.1919E-04
  0.1142E+02  0.2686E-02  0.1943E-04
  0.1161E+02  0.2736E-02  0.1966E-04
  0.1180E+02  0.2784E-02  0.1989E-04
  0.1198E+02  0.2832E-02  0.2010E-04
  0.1217E+02  0.2880E-02  0.2030E-04
  0.1236E+02  0.2926E-02  0.2048E-04
  0.1255E+02  0.2971E-02  0.2065E-04
  0.1273E+02  0.3015E-02  0.2079E-04
  0.1292E+02  0.3059E-02  0.2092E-04
  0.1311E+02  0.3100E-02  0.2103E-04
  0.1329E+02  0.3141E-02  0.2113E-04
  0.1348E+02  0.3181E-02  0.2121E-04
  0.1367E+02  0.3219E-02  0.2128E-04
  0.1386E+02  0.3256E-02  0.2133E-04
  0.1404E+02  0.3291E-02  0.2137E-04
  0.1423E+02  0.3325E-02  0.2141E-04
  0.1442E+02  0.3357E-02  0.2143E-04
  0.1461E+02  0.3388E-02  0.2145E-04
  0.1479E+02  0.3417E-02  0.2146E-04
  0.1498E+02  0.3445E-02  0.2147E-04
  0.1517E+02  0.3471E-02  0.2148E-04
  0.1535E+02  0.3495E-02  0.2148E-04
  0.1554E+02  0.3518E-02  0.2148E-04
  0.1573E+02  0.3539E-02  0.2148E-04
  0.1592E+02  0.3558E-02  0.2148E-04
  0.1610E+02  0.3576E-02  0.2148E-04
  0.1629E+02  0.3592E-02  0.2148E-04
  0.1648E+02  0.3607E-02  0.2148E-04
  0.1667E+02  0.3619E-02  0.2148E-04
  0.1685E+02  0.3630E-02  0.2148E-04
  0.1704E+02  0.3640E-02  0.2149E-04
  0.1723E+02  0.3647E-02  0.2150E-04
  0.1741E+02  0.3654E-02  0.2152E-04
  0.1760E+02  0.3658E-02  0.2155E-04
  0.1779E+02  0.3661E-02  0.2160E-04
  0.1798E+02  0.3662E-02  0.2165E-04
  0.1816E+02  0.3662E-02  0.2172E-04
  0.1835E+02  0.3660E-02  0.2181E-04
  0.1854E+02  0.3656E-02  0.2192E-04
  0.1873E+02  0.3651E-02  0.2205E-04
  0.1891E+02  0.3644E-02  0.2220E-04
  0.1910E+02  0.3636E-02  0.2238E-04
  0.1929E+02  0.3626E-02  0.2257E-04
  0.1947E+02  0.3615E-02  0.2279E-04
  0.1966E+02  0.3603E-02  0.2302E-04
  0.1985E+02  0.3589E-02  0.2327E-04
  0.2004E+02  0.3573E-02  0.2354E-04
  0.2022E+02  0.3556E-02  0.2382E-04
  0.2041E+02  0.3538E-02  0.2410E-04
  0.2060E+02  0.3519E-02  0.2439E-04
  0.2078E+02  0.3498E-02  0.2469E-04
  0.2097E+02  0.3476E-02  0.2498E-04
  0.2116E+02  0.3452E-02  0.2528E-04
  0.2135E+02  0.3428E-02  0.2557E-04
  0.2153E+02  0.3402E-02  0.2585E-04
  0.2172E+02  0.3375E-02  0.2612E-04
  0.2191E+02  0.3348E-02  0.2639E-04
  0.2210E+02  0.3319E-02  0.2664E-04
  0.2228E+02  0.3289E-02  0.2689E-04
  0.2247E+02  0.3258E-02  0.2712E-04
  0.2266E+02  0.3226E-02  0.2733E-04
  0.2284E+02  0.3194E-02  0.2753E-04
  0.2303E+02  0.3161E-02  0.2771E-04
  0.2322E+02  0.3127E-02  0.2788E-04
  0.2341E+02  0.3092E-02  0.2802E-04
  0.2359E+02  0.3057E-02  0.2815E-04
  0.2378E+02  0.3021E-02  0.2826E-04
  0.2397E+02  0.2984E-02  0.2834E-04
  0.2416E+02  0.2947E-02  0.2841E-04
  0.2434E+02  0.2910E-02  0.2845E-04
  0.2453E+02  0.2872E-02  0.2846E-04
  0.2472E+02  0.2834E-02  0.2846E-04
  0.2490E+02  0.2795E-02  0.2843E-04
  0.2509E+02  0.2756E-02  0.2838E-04
  0.2528E+02  0.2717E-02  0.2830E-04
  0.2547E+02  0.2678E-02  0.2821E-04
  0.2565E+02  0.2638E-02  0.2810E-04
  0.2584E+02  0.2599E-02  0.2797E-04
  0.2603E+02  0.2559E-02  0.2782E-04
  0.2622E+02  0.2519E-02  0.2766E-04
  0.2640E+02  0.2480E-02  0.2748E-04
  0.2659E+02  0.2440E-02  0.2729E-04
  0.2678E+02  0.2400E-02  0.2709E-04
  0.2696E+02  0.2360E-02  0.2689E-04
  0.2715E+02  0.2321E-02  0.2667E-04
  0.2734E+02  0.2281E-02  0.2646E-04
  0.2753E+02  0.2241E-02  0.2624E-04
  0.2771E+02  0.2202E-02  0.2602E-04
  0.2790E+02  0.2163E-02  0.2580E-04
  0.2809E+02  0.2124E-02  0.2558E-04
  0.2827E+02  0.2085E-02  0.2536E-04
  0.2846E+02  0.2046E-02  0.2515E-04
  0.2865E+02  0.2007E-02  0.2494E-04
  0.2884E+02  0.1969E-02  0.2474E-04
  0.2902E+02  0.1931E-02  0.2454E-04
  0.2921E+02  0.1893E-02  0.2435E-04
  0.2940E+02  0.1855E-02  0.2416E-04
  0.2959E+02  0.1818E-02  0.2398E-04
  0.2977E+02  0.1780E-02  0.2381E-04
  0.2996E+02  0.1743E-02  0.2364E-04
  0.3015E+02  0.1707E-02  0.2348E-04
  0.3033E+02  0.1670E-02  0.2333E-04
  0.3052E+02  0.1634E-02  0.2318E-04
  0.3071E+02  0.1598E-02  0.2304E-04
  0.3090E+02  0.1563E-02  0.2290E-04
  0.3108E+02  0.1527E-02  0.2277E-04
  0.3127E+02  0.1492E-02  0.2265E-04
  0.3146E+02  0.1457E-02  0.2252E-04
  0.3165E+02  0.1423E-02  0.2241E-04
  0.3183E+02  0.1389E-02  0.2229E-04
  0.3202E+02  0.1355E-02  0.2218E-04
  0.3221E+02  0.1321E-02  0.2207E-04
  0.3239E+02  0.1288E-02  0.2196E-04
  0.3258E+02  0.1255E-02  0.2186E-04
  0.3277E+02  0.1222E-02  0.2175E-04
  0.3296E+02  0.1190E-02  0.2165E-04
  0.3314E+02  0.1158E-02  0.2155E-04
  0.3333E+02  0.1126E-02  0.2144E-04
  0.3352E+02  0.1094E-02  0.2134E-04
  0.3371E+02  0.1063E-02  0.2124E-04
  0.3389E+02  0.1032E-02  0.2114E-04
  0.3408E+02  0.1002E-02  0.2104E-04
  0.3427E+02  0.9716E-03  0.2094E-04
  0.3445E+02  0.9418E-03  0.2084E-04
  0.3464E+02  0.9123E-03  0.2075E-04
  0.3483E+02  0.8833E-03  0.2067E-04
  0.3502E+02  0.8546E-03  0.2059E-04
  0.3520E+02  0.8262E-03  0.2053E-04
  0.3539E+02  0.7983E-03  0.2048E-04
  0.3558E+02  0.7708E-03  0.2044E-04
  0.3576E+02  0.7437E-03  0.2042E-04
  0.3595E+02  0.7170E-03  0.2042E-04
  0.3614E+02  0.6908E-03  0.2045E-04
  0.3633E+02  0.6650E-03  0.2049E-04
  0.3651E+02  0.6397E-03  0.2056E-04
  0.3670E+02  0.6148E-03  0.2066E-04
  0.3689E+02  0.5904E-03  0.2078E-04
  0.3708E+02  0.5665E-03  0.2093E-04
  0.3726E+02  0.5431E-03  0.2110E-04
  0.3745E+02  0.5202E-03  0.2130E-04
  0.3764E+02  0.4977E-03  0.2152E-04
  0.3782E+02  0.4757E-03  0.2176E-04
  0.3801E+02  0.4543E-03  0.2202E-04
  0.3820E+02  0.4333E-03  0.2229E-04
  0.3839E+02  0.4129E-03  0.2257E-04
  0.3857E+02  0.3929E-03  0.2286E-04
  0.3876E+02  0.3735E-03  0.2316E-04
  0.3895E+02  0.3546E-03  0.2346E-04
  0.3914E+02  0.3361E-03  0.2375E-04
  0.3932E+02  0.3182E-03  0.2404E-04
  0.3951E+02  0.3008E-03  0.2432E-04
  0.3970E+02  0.2839E-03  0.2459E-04
  0.3988E+02  0.2676E-03  0.2484E-04
  0.4007E+02  0.2517E-03  0.2507E-04
  0.4026E+02  0.2363E-03  0.2528E-04
  0.4045E+02  0.2215E-03  0.2547E-04
  0.4063E+02  0.2072E-03  0.2563E-04
  0.4082E+02  0.1934E-03  0.2577E-04
  0.4101E+02  0.1801E-03  0.2587E-04
  0.4120E+02  0.1674E-03  0.2594E-04
  0.4138E+02  0.1551E-03  0.2598E-04
  0.4157E+02  0.1434E-03  0.2597E-04
  0.4176E+02  0.1322E-03  0.2593E-04
  0.4194E+02  0.1215E-03  0.2585E-04
  0.4213E+02  0.1114E-03  0.2573E-04
  0.4232E+02  0.1017E-03  0.2556E-04
  0.4251E+02  0.9259E-04  0.2534E-04
  0.4269E+02  0.8397E-04  0.2507E-04
  0.4288E+02  0.7585E-04  0.2476E-04
  0.4307E+02  0.6823E-04  0.2438E-04
  0.4325E+02  0.6110E-04  0.2396E-04
  0.4344E+02  0.5444E-04  0.2347E-04
  0.4363E+02  0.4825E-04  0.2292E-04
  0.4382E+02  0.4252E-04  0.2231E-04
  0.4400E+02  0.3723E-04  0.2164E-04
  0.4419E+02  0.3238E-04  0.2090E-04
  0.4438E+02  0.2793E-04  0.2009E-04
  0.4457E+02  0.2388E-04  0.1920E-04
  0.4475E+02  0.2022E-04  0.1825E-04
